1,25
310,135
368,7
1026,330
2232,28
2886,58
3172,2307
3175,308
3958,202
4899,2374
6472,390
6606,265
6622,206
7083,182
9923,10
10321,1
10422,74
10549,68
23198,36
23352,101
51035,153
56888,63
63891,44
80854,45
284161,30
284403,49
2,158
60,459
250,53
259,21
292,200
293,150
309,43
347,52
348,76
351,2139
354,42
412,25
427,37
476,90
498,179
506,184
523,120
526,89
566,17
567,59
827,16
950,34
998,237
1022,139
1080,255
1200,29
1361,12
1508,55
1510,14
1511,43
1558,18
1562,10
1583,10
1588,11
1650,73
1743,38
1990,22
1995,13
2026,61
2193,51
2597,252
2629,45
2639,24
2669,102
2720,47
2885,965
2990,15
3014,343
3163,66
3309,535
3316,117
3329,324
3337,99
3437,74
3553,29
3565,12
3586,16
3817,21
3931,7
3952,12
3964,122
4016,10
4035,142
4069,47
4128,10
4237,16
4313,69
4353,11
4653,46
4803,11
4846,67
5047,23
5154,23
5155,83
5309,76
5597,208
5657,17
5806,18
5858,12
5864,52
5886,173
5908,71
6009,57
6462,70
6468,53
6774,350
7001,86
7045,15
7050,35
7052,115
7276,61
7301,45
7353,78
7372,35
7416,119
8626,147
8728,9
8764,81
8848,170
9114,76
9361,64
9510,27
10053,37
10263,25
10376,152
10724,44
10944,1
11051,147
11102,30
11140,409
11173,2
22976,266
22983,49
23154,32
23176,28
24138,29
26085,6
26270,603
29079,366
51013,70
51024,24
51162,38
51295,119
54850,40
55033,31
55118,20
55207,32
55729,92
56729,11
56983,27
57559,62
64146,35
64223,54
79006,3
79695,39
81792,18
84106,38
84279,7
93185,199
112398,31
115704,31
124912,9
126003,43
126074,12
140545,43
145864,12
204851,43
284207,3
285203,21
548596,31
728642,56
9,5
3383,183
7316,9777
8260,70
113000,5
120892,467
10,26
324,222
472,244
999,188
1029,200
1031,63
2064,310
3161,50
3480,110
4683,95
5888,136
6790,337
6794,157
7490,48
8493,30
8930,30
9530,182
23522,61
23567,41
25818,54
51343,133
56910,23
79728,45
12,44
125,12
525,95
1215,11
1504,7
1506,7
1991,34
2153,19
3211,12
4001,106
4312,29
4351,8
4485,15
4790,443
5422,59
5684,276
6444,10
7545,107
9507,39
9622,7
10057,14
10319,21
11269,120
11330,22
30834,25
55633,135
58516,60
64215,22
64794,105
65061,102
80262,37
81609,79
13,2
6927,351
10513,163
14,36
1725,56
1874,648
1956,1006
3297,132
4289,60
5664,79
6134,350
6293,124
6726,66
6915,40
7158,171
7514,1207
8553,112
10076,22
10226,72
10537,655
11345,569
22980,32
23405,77
27250,52
51497,48
51763,44
55216,105
55844,95
59272,8
64127,58
64782,47
65125,120
65265,70
81631,377
256297,15
15,8
